file_name,actress,archetype,situ,max_f0,min_f0,f0_range,f0_dev,sentence_type,,,,
hisgirl_1,Russel,independent,casual_light,336,141,195,46,d,,,,
hisgirl_2,Russel,independent,confront,237,117,120,29,wh,,,,
hisgirl_3,Russel,independent,casual_light,238,136,102,36,d,,,,
hisgirl_4,Russel,independent,work,228,129,99,19,yn,,,,
hisgirl_5,Russel,independent,work,194,92,102,18,d,,,,
hisgirl_6,Russel,independent,work,265,93,172,32,d,,,,
hisgirl_7,Russel,independent,confront,397,176,221,51,e,,,,
hisgirl_8,Russel,independent,confront,313,111,202,24,d,,,,
hisgirl_9,Russel,independent,confront,278,143,135,34,d,,,,
hisgirl_10,Russel,independent,work,321,149,172,33,d,,,,
hisgirl_11,Russel,independent,work,334,144,190,62,wh,,,,
hisgirl_12,Russel,independent,work,267,152,115,24,d,,,,
hisgirl_13,Russel,independent,casual_light,216,106,110,22,d,,,,
hisgirl_14,Russel,independent,casual_light,333,45,288,58,d,,,,
hisgirl_15,Russel,independent,casual_light,363,112,251,64,d,,,,
hisgirl_16,Russel,independent,casual_light,243,127,116,26,d,,,,
hisgirl_17,Russel,independent,casual_light,294,105,189,48,d,,,,
hisgirl_18,Russel,independent,casual_light,257,110,147,36,wh,,,,
hisgirl_19,Russel,independent,casual_light,240,98,142,42,yn,,,,
hisgirl_20,Russel,independent,confront,320,99,221,52,yn,,,,
hisgirl_21,Russel,independent,casual_cynical,244,102,142,36,d,,,,
hisgirl_22,Russel,independent,casual_cynical,216,112,104,28,d,,,,
hisgirl_23,Russel,independent,casual_light,364,194,170,52,yn,,,,
hisgirl_25,Russel,independent,casual_light,270,66,204,60,d,,,,
hisgirl_26,Russel,independent,casual_cynical,196,98,98,17,d,,,,
hisgirl_27,Russel,independent,casual_cynical,255,147,108,34,d,,,,
hisgirl_28,Russel,independent,casual_cynical,324,90,234,57,d,,,,
hisgirl_29,Russel,independent,casual_cynical,255,40,215,39,d,,,,
hisgirl_30,Russel,independent,casual_cynical,279,140,139,33,d,,,,
hisgirl_31,Russel,independent,casual_cynical,266,98,168,32,d,,,,
hisgirl_32,Russel,independent,confront,322,112,210,54,d,,,,
hisgirl_33,Russel,independent,confront,293,127,166,36,d,,,,
hisgirl_34,Russel,independent,confront,310,123,187,40,d,,,,
hisgirl_36,Russel,independent,confront,355,166,189,40,d,,,,
hisgirl_37,Russel,independent,casual_light,213,147,66,15,d,,,,
hisgirl_38,Russel,independent,casual_light,224,162,62,12,d,,,,
hisgirl_39,Russel,independent,casual_light,318,125,193,52,d,,,,
hisgirl_40,Russel,independent,casual_light,237,161,76,23,d,,,,
hisgirl_41,Russel,independent,casual_light,312,152,160,33,d,,,,
hisgirl_42,Russel,independent,casual_light,210,58,152,23,d,,,,
hisgirl_43,Russel,independent,casual_light,379,125,254,74,d,,,,
adams_1,Hepburn,independent,work,279,150,129,29,d,,,,
adams_2,Hepburn,independent,work,332,94,238,62,d,,,,
adams_3,Hepburn,independent,work,437,138,299,66,d,,,,
adams_4,Hepburn,independent,casual_light,338,202,136,37,d,,,,
adams_5,Hepburn,independent,confront,291,130,161,46,d,,,,
adams_6,Hepburn,independent,work,296,123,173,42,yn,,,,
adams_7,Hepburn,independent,work,308,163,145,41,yn,,,,
adams_8,Hepburn,independent,work,193,127,66,20,wh,,,,
adams_9,Hepburn,independent,work,241,119,122,42,wh,,,,
adams_10,Hepburn,independent,casual_light,263,148,115,37,d,,,,
adams_11,Hepburn,independent,casual_light,309,136,173,48,d,,,,
adams_12,Hepburn,independent,casual_light,463,114,349,90,wh,,,,
adams_13,Hepburn,independent,casual_light,271,126,145,36,d,,,,
adams_14,Hepburn,independent,work,360,125,235,54,d,,,,
adams_15,Hepburn,independent,work,284,78,206,44,d,,,,
adams_16,Hepburn,independent,work,284,72,212,40,d,,,,
adams_17,Hepburn,independent,work,376,133,243,51,yn,,,,
adams_18,Hepburn,independent,work,328,183,145,38,e,,,,
adams_19,Hepburn,independent,work,354,181,173,37,yn,,,,
adams_20,Hepburn,independent,casual_light,232,186,46,15,d,,,,
adams_21,Hepburn,independent,casual_light,311,93,218,51,d,,,,
adams_22,Hepburn,independent,work,330,106,224,61,yn,,,,
adams_23,Hepburn,independent,work,299,163,136,39,wh,,,,
adams_24,Hepburn,independent,work,273,127,146,34,wh,,,,
adams_25,Hepburn,independent,work,296,194,102,26,d,,,,
adams_26,Hepburn,independent,work,369,95,274,84,yn,,,,
adams_27,Hepburn,independent,work,467,105,362,91,wh,,,,
adams_28,Hepburn,independent,work,463,109,354,74,wh,,,,
adams_29,Hepburn,independent,work,456,140,316,74,yn,,,,
adams_30,Hepburn,independent,confront,300,175,125,27,d,,,,
adams_31,Hepburn,independent,confront,487,123,364,130,e,,,,
adams_32,Hepburn,independent,confront,445,288,157,37,e,,,,
adams_33,Hepburn,independent,confront,412,153,259,80,e,,,,
blondes_1,Monroe,dumbblonde,casual_light,402,179,223,56,d,,,,
blondes_2,Monroe,dumbblonde,casual_light,442,207,235,61,yn,,,,
blondes_3,Monroe,dumbblonde,casual_light,576,219,357,83,e,,,,
blondes_4,Monroe,dumbblonde,casual_light,450,232,218,61,e,,,,
blondes_5,Monroe,dumbblonde,lover,541,224,317,34,d,,,,
blondes_6,Monroe,dumbblonde,lover,478,171,307,111,e,,,,
blondes_7,Monroe,dumbblonde,practical,402,177,225,68,d,,,,
blondes_8,Monroe,dumbblonde,practical,347,206,141,30,d,,,,
blondes_9,Monroe,dumbblonde,practical,404,188,216,48,wh,,,,
blondes_10,Monroe,dumbblonde,practical,427,210,217,40,d,,,,
blondes_11,Monroe,dumbblonde,casual,364,217,147,31,d,,,,
blondes_12,Monroe,dumbblonde,casual,382,217,165,37,wh,,,,
blondes_13,Monroe,dumbblonde,casual,454,205,249,54,e,,,,
blondes_14,Monroe,dumbblonde,casual,699,274,425,105,d,,,,
blondes_15,Monroe,dumbblonde,casual,446,249,197,55,d,,,,
blondes_16,Monroe,dumbblonde,casual,403,248,155,40,d,,,,
blondes_17,Monroe,dumbblonde,casual,438,268,170,42,d,,,,
blondes_18,Monroe,dumbblonde,casual,384,239,145,35,d,,,,
blondes_19,Monroe,dumbblonde,casual,471,284,187,48,d,,,,
blondes_20,Monroe,dumbblonde,casual,367,238,129,33,d,,,,
blondes_21,Monroe,dumbblonde,casual,497,202,295,67,d,,,,
blondes_22,Monroe,dumbblonde,casual,446,261,185,52,e,,,,
blondes_23,Monroe,dumbblonde,casual,673,286,387,90,e,,,,
blondes_24,Monroe,dumbblonde,casual,425,212,213,54,wh,,,,
blondes_25,Monroe,dumbblonde,casual,451,197,254,57,d,,,,
blondes_26,Monroe,dumbblonde,casual,574,200,374,87,e,,,,
blondes_27,Monroe,dumbblonde,practical,372,199,173,38,d,,,,
blondes_28,Monroe,dumbblonde,practical,412,184,228,52,yn,,,,
blondes_29,Monroe,dumbblonde,practical,401,200,201,52,yn,,,,
blondes_30,Monroe,dumbblonde,practical,310,216,94,21,d,,,,
blondes_31,Monroe,dumbblonde,practical,466,209,257,52,e,,,,
blondes_32,Monroe,dumbblonde,practical,430,197,233,41,d,,,,
blondes_33,Monroe,dumbblonde,practical,434,227,207,72,d,,,,
blondes_34,Monroe,dumbblonde,practical,450,216,234,77,d,,,,
blondes_35,Monroe,dumbblonde,practical,540,183,357,87,d,,,,
somelike_1,Monroe,dumbblonde,casual,497,240,257,53,d,,,,
somelike_2,Monroe,dumbblonde,casual,419,235,184,60,d,,,,
somelike_3,Monroe,dumbblonde,casual,758,222,536,125,e,,,,
somelike_4,Monroe,dumbblonde,casual,430,255,175,41,yn,,,,
somelike_5,Monroe,dumbblonde,casual_cynical,381,191,190,41,d,,,,
somelike_6,Monroe,dumbblonde,casual,528,235,293,90,d,,,,
somelike_7,Monroe,dumbblonde,casual_whis,344,229,115,33,yn,,,,
somelike_8,Monroe,dumbblonde,casual,712,242,470,105,yn,,,,
somelike_9,Monroe,dumbblonde,casual,611,250,361,84,d,,,,
somelike_10,Monroe,dumbblonde,casual,561,302,259,74,d,,,,
